NAME,OCS_NAME,LONG_NAME
KlgSpecKBrwBtrDChoc1.59oz,KlgSpecKBrwBtrDChoc1.59oz,Kellogg Special K Brownie Batter/Double Chocolate Protein Bar (1.59oz)
,Klg Rice Krisp Choc 1.3oz,Kellogg Rice Krispies Chocolate (1.3oz)
zzzKnotts ApricotCkie .7oz,zzzKnotts ApricotCkie .7oz,zzzKnotts Berry Apricot Shortbread Cookie (.7oz)
Knotts Bberry Ckie 2oz,Knotts Bberry Ckie 2oz,Knotts Berry Blueberry Shortbread Cookie (2oz)
Knotts RBerry Ckie .7oz,Knotts RBerry Ckie .7oz,Knotts Berry Raspberry Shortbread Cookie (.7oz)
Knotts Rberry Ckie 2oz,Knotts Rberry Ckie 2oz,Knotts Berry Raspberry Shortbread Cookie (2oz)
Knotts Sberry Ckie 2oz,Knotts Sberry Ckie 2oz,Knotts Berry Strawberry Shortbread Cookie (2oz)
Knotts Sberry Ckie 3oz,Knotts Sberry Ckie 3oz,Knotts Berry Strawberry Shortbread Cookie (3oz)
RitzChs&CrkrDip.95oz,RitzChs&CrkrDip.95oz,Kraft Handi-Snacks Crackers 'n Cheese Dip (.95oz)
Ktle Chp Hny Dijon 2oz,Ktle Chp Hny Dijon 2oz,Kettle Chips Honey Dijon (2oz)
,Larabar Ban Ckie 1.8oz,Larabar Banana Cookie (1.8oz)
Larabar CashCkie 1.7oz,Larabar CashCkie 1.7oz,Larabar Cashew Cookie (1.7oz)
Larabar Choc Coco 1.8oz,Larabar Choc Coco 1.8oz,Larabar Chocolate Coconut Chew (1.8oz)
Lays BBQ 1oz,Lays BBQ 1oz,Lays BBQ (1oz)
Lays BBQ 1.5oz,Lays BBQ 1.5oz,Lays BBQ (1.5oz)
Lays Chs PB Crkr 1.38oz,Lays Chs PB Crkr 1.38oz,Lays Cheese Peanut Butter Cracker (1.38oz)
,zzzLays Ktle Jpno,zzzLays Kettle Cooked Jalapeno
Lnc Choc-o-Lunch 1.65oz,Lnc Choc-o-Lunch 1.65oz,Lance Choc-o-Lunch Cookie (1.65oz)
zzzLnc ChsWheat Crkr 1.3oz,zzzLnc ChsWheat Crkr 1.3oz,zzzLance Cheese on Wheat Cracker(1.3oz)
LncCrmChsCWfr 1.375oz,LncCrmChsCWfr 1.375oz,Lance Cream Cheese & Chives Captain Wafer (1.375oz)
Lnc Gld Chs Crkr 1.25oz,Lnc Gld Chs Crkr 1.25oz,Lance Gold Cheese Bites Cracker (1.25oz)
Lnc GrldChsCWfr1.375oz,Lnc GrldChsCWfr1.375oz,Lance Grilled Cheese Captains Wafers (1.375oz)
Lnc Nipchee 1.375oz,Lnc Nipchee 1.375oz,Lance Nipchee Cheese on Cheese (1.375oz)
,zzzLnc PB Chs Crkr,zzzLance Peanut Butter Cheese Cracker
Lnc PB HnyCWfr 1.375oz,Lnc PB HnyCWfr 1.375oz,Lance Peanut Butter w/ Honey Captain Wafer (1.375oz)
LncToastcheePBChs1.52oz,LncToastcheePBChs1.52oz,Lance Toastchee Peanut Butter Cheese Crackers (1.52oz)
LDoon SBread Ckie 1.5oz,LDoon SBread Ckie 1.5oz,Lorna Doone Shortbread Cookies (1.5oz)
,Luna Choc Pecan Pie 1.69oz,Luna Chocolate Pecan Pie Bar (1.69oz)
Luna ChocPmintBr 1.69oz,Luna ChocPmintBr 1.69oz,Luna Chocolate Peppermint Stick Bar (1.69oz)
LunaChocRBerry 1.69oz,LunaChocRBerry 1.69oz,Luna Chocolate Raspberry Bar (1.69oz)
LunaNutzOverChoc 1.69oz,LunaNutzOverChoc 1.69oz,Luna Nutz Over Chocolate Bar (1.69oz)
Luna PB Ckie 1.69oz,Luna PB Ckie 1.69oz,Luna Peanut Butter Cookie (1.69oz)
,Luna T Ck Mint Choc Br 1.41oz,Luna Tea Cake Mint Chocolate Bar (1.41oz)
PFarm MilanoCkie 1.5oz,PFarm MilanoCkie 1.5oz,Pepperidge Farm Milano Cookie Chocolate (1.5oz)
zzzMrNatUnsltEngy Mx2oz,zzzMrNatUnsltEngy Mx2oz,zzzMr. Nature Unsalted Energy Mix (2oz)
MFrsh Choc Cck 4oz,MFrsh Choc Cck 4oz,Mrs. Freshleys Chocolate Cupcakes (4.oz)
,Mrs Freshley Choc Cck Mini 1.3oz,Mrs. Freshleys Chocolate Cupcake Mini (1.3oz)
MFrsh Choc Donut 3oz,MFrsh Choc Donut 3oz,Mrs. Freshleys Chocolate Gem Donuts (3oz)
MFrsh Glz Hny Bun 3oz,MFrsh Glz Hny Bun 3oz,Mrs. Freshleys Glazed Honey Bun (3oz)
MFrsh Iced HnyBun 3.5oz,MFrsh Iced HnyBun 3.5oz,Mrs. Freshleys Iced Honey Bun (3.5oz)
,Mrs Mays Frt Chip Pch .35oz,Mrs Mays Peach Fruit Snapz (.35oz)
MVickies SHBBQ 1.375 oz,MVickies SHBBQ 1.375 oz,Ms Vickies Smokehouse BBQ (1.375oz)
,NVlyGranVrty ChocChk/OatRsn.89oz,Nature Valley Granola Variety Chocolate Chunk/Oatmeal Raisin (.89oz)
NVly CruhOats&Hny 1.5oz,NVly CruhOats&Hny 1.5oz,Nature Valley Crunchy Oats and Honey (1.5oz)
Nbco 100CalChsNip .74oz,Nbco 100CalChsNip .74oz,Nabisco 100 Calorie Cheese Nip Crisps (.74oz)
,Nbco 100 CalHnyMaidCinCsp .81oz,Nabisco 100 Calorie Honey Maid Cinnamon Crisps (.81oz)
Nbco CAhoy 3oz,Nbco CAhoy 3oz,Nabisco Chips Ahoy Mini Cookie (3oz)
Nbco CAhoy MiniCkie 2oz,Nbco CAhoy MiniCkie 2oz,Nabisco Chips Ahoy Mini Cookie (2oz)
HMaidGramCrkr .5oz,HMaidGramCrkr .5oz,Nabisco Honey Maid Graham Cracker (.5oz)
,NeMos Choc Chip Ck 2oz,Nemos Chocolate Chip Cake (2oz)
NemosCrmChsCofCake 4oz,NemosCrmChsCofCake 4oz,Nemos Cream Cheese Coffee Cake (4oz)
Newmans Own PB Cup1.2oz,Newmans Own PB Cup1.2oz,Newmans Own Milk Chocolate Peanut Butter Cup (1.2oz)
NuGoDkChocAlmdBr 1.76oz,NuGoDkChocAlmdBr 1.76oz,NuGo Organic Dark Chocolate Almond Bar (1.76oz)
NuGoDkChoCherPmBr1.76oz,NuGoDkChoCherPmBr1.76oz,NuGo Organic Dark Chocolate Cherry & Pomegranate Bar (1.76oz)
NuGo Dk Dbl Choc 1.76oz,NuGo Dk Dbl Choc 1.76oz,NuGo Organic Dark Double Chocolate Bar (1.76oz)
,O'Cocos Org Choc Crisp .7oz,O'Cocos Organic Chocolate Original Crisp (.7oz)
,Ocean Spray Craisins Choc 1.75oz,Ocean Spray Craisins Chocolate (1.75oz)
Odwalla ChocChpPB 2oz,Odwalla ChocChpPB 2oz,Odwalla Chocolate Chip Peanut Bar (2oz)
Oreo Choc Ckie 2oz,Oreo Choc Ckie 2oz,Oreo Chocolate Cookie (2oz)
,Otis Spnk Choc Chip Muffin 1.8oz,Otis Spunkmeyer Chocolate Chip Muffin (1.8oz)
Otis Choc Chp Mfn 4oz,Otis Choc Chp Mfn 4oz,Otis Spunkmeyer Chocolate Chip Muffin (4oz)
,zzzOtis Spnk DblChocMuffin 1.8oz,zzzOtis Spunkmeyer Double Chocolate Muffin (1.8oz)
PFarm Gfish Ched 1.5oz,PFarm Gfish Ched 1.5oz,Pepperidge Farm Goldfish Cheddar Cheese (1.5oz)
,PFarm Gfish Pk .5oz,Pepperidge Farm Goldfish Cheddar Cheese (.5oz)
Plntrs Hny Rst Pnuts1oz,Plntrs Hny Rst Pnuts1oz,Planters Honey Roast Peanuts (1oz)
Plntrs Hny Rst Pnuts2oz,Plntrs Hny Rst Pnuts2oz,Planters Honey Roast Peanuts (2oz)
PlntrsVrtyP1.5oz/1.75oz,PlntrsVrtyP1.5oz/1.75oz,Planters Nuts Variety Pack Salted Cash/Pnut Honey Roast Pnut (1.5oz/1.75oz)
Popchips BBQ 1oz,Popchips BBQ 1oz,Popchips BBQ (1oz)
,Pria Choc Pnut Cruh Br .98oz,Powerbar Pria Chocolate Peanut Crunch (.98oz)
